,lang,family,dialects,iso6393,glottocode,speakers,regions,off_lang,rec_min_lang,Wikipedia_Url
944,Piyo,"['Sino-Tibetan', 'Tibeto-Burman', 'Lolo–Burmese', 'Loloish', 'Southern', 'Bi-Ka', 'Piyo']",Data not available,byo,biyo1243,"(120,000 cited 1997)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Piyo_language
945,Bumaji,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Southern Bantoid', '?', 'Bendi', 'Bumaji']",Data not available,byp,buma1244,"11,000 (2000)[1]",Cross River State,Data not available,Data not available,https://en.wikipedia.org/wiki/Bumaji_language
946,Basay,"['Austronesian', 'East Formosan', 'Kavalanic', 'Basay']","['Basay proper', 'Trobiawan', 'Linaw–Qauqaut']",byq,basa1287,Data not available,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Basay_language
947,Yipma,"['Trans–New Guinea', 'Angan', 'Northwest', 'Yipma']",Data not available,byr,baru1267,"(6,600 cited 1990 census)[1]",Morobe Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Yipma_language
948,Burak,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Bambukic', 'Bikwin–Jen', 'Bikwin', 'Burak–Loo', 'Burak']",Data not available,bys,bura1271,"(4,000 cited 1992)[1]",Gombe State,Data not available,Data not available,https://en.wikipedia.org/wiki/Burak_language
949,Berti,"['Nilo-Saharan', '?\n', 'Saharan', 'Eastern', 'Berti']",Data not available,byt,bert1249,Data not available,North Darfur,Data not available,Data not available,https://en.wikipedia.org/wiki/Berti_language
950,Medumba,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Benue–Congo', 'Bantoid', 'Southern Bantoid', 'Grassfields', 'Eastern Grassfields', 'Mbam-Nkam', 'Bamileke', 'Medumba']",['Batongtou'],byv,medu1238,"(210,000 cited 1991)[1]",Cameroon,Data not available,Data not available,https://en.wikipedia.org/wiki/Medumba_language
951,Belhare,"['Sino-Tibetan', 'Tibeto-Burman', 'Mahakiranti', ' (?)', 'Kiranti', 'Eastern', 'Greater Yakkha', 'Belhare']",Data not available,byw,belh1239,600 (2011 census)[1],"Dhankuta district, Nepal",Data not available,Data not available,https://en.wikipedia.org/wiki/Belhare_language
952,Qaqet,"['Baining', 'Qaqet']",Data not available,byx,qaqe1238,"15,000 (2019)[1]",New Britain,Data not available,Data not available,https://en.wikipedia.org/wiki/Qaqet_language
953,Banaro,"['Ramu', '\nRamu proper', 'Banaro']",Data not available,byz,bana1292,"4,000 (2019)[1]",Madang & East Sepik Provinces,Data not available,Data not available,https://en.wikipedia.org/wiki/Banaro_language
954,Gbandi,"['Niger–Congo', '\xa0?\n', 'Mande', 'Western Mande', 'Southwestern', 'Mende–Loma', 'Mende–Bandi', 'Bandi–Zialo', 'Gbandi']","['Tahamba', 'Wawoma', 'Vukoha', 'Hasala', 'Lukasu', 'Hembeh']",bza,band1352,"160,000 (2014–2020)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Gbandi_language
955,Andio,"['Austronesian', 'Malayo-Polynesian', 'Celebic', 'Saluan–Banggai', 'Saluanic', 'Andio']",Data not available,bzb,andi1257,335 (2010)[1],Sulawesi,Data not available,Data not available,https://en.wikipedia.org/wiki/Andio_language
956,Bribri,"['Chibchan', 'Talamanca', 'Bribri']",Data not available,bzd,brib1243,"7,000 (2011)[1]11,000 (2000)","Limón province: Talamanca cantón, along Lari, Telire, and Uren rivers; Puntarenas province: Buenos Aires cantón",Data not available,Costa Rica,https://en.wikipedia.org/wiki/Bribri_language
957,Boiken,"['Sepik', 'Middle Sepik', 'Ndu', 'Boiken']",Data not available,bzf,boik1241,"35,000 (2004)[1]",Sepik River basin,Data not available,Data not available,https://en.wikipedia.org/wiki/Boiken_language
958,Babuza,"['Austronesian', 'Western Plains Formosan', 'Central', 'Babuza']","['Poavosa', 'Taokas']",bzgtitle  (with Favorlang),babu1240,Data not available,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Babuza_language
959,Mapos,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Western Oceanic', 'North New Guinea', '\xa0?', 'Ngero–Vitiaz', '\xa0?', 'Huon Gulf', 'South Huon Gulf', 'Hote–Buang', 'Buang', 'Mapos']",Data not available,bzh,mapo1242,"7,000 (2001)[1]1,400 monolinguals (2001)[1]",Morobe Province,Data not available,Data not available,https://en.wikipedia.org/wiki/Mapos_Buang_language
960,Bisu,"['Sino-Tibetan', 'Tibeto-Burman', 'Lolo–Burmese', 'Loloish', 'Southern', 'Bisoid', 'Phunoi–Bisu', 'Bisu']",Data not available,bzi,bisu1244,240 in China (2005)[1],Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Bisu_language
961,Belizean Creole,"['English Creole', '\nAtlantic', 'Western', 'Belizean Creole']",Data not available,bzj,beli1260,"150,000 (2013)[1]Second language: over 200,000",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Belizean_Creole
962,Miskito Coast Creole,"['English Creole', '\nAtlantic', 'Western', 'Miskito Coast Creole']",Data not available,bzk,nica1252,"~40,000[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Miskito_Coast_Creole
963,Boano,"['Austronesian', 'Malayo-Polynesian', ' (MP)', 'Celebic', 'Tomini–Tolitoli', '\xa0?', 'Tolitoli', 'Boano']",Data not available,bzl,boan1243,"2,700 (2001)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Boano_language_(Sulawesi)
964,Londo,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', ' (', 'Zone C.40', ')', 'Buja–Ngombe', 'Tembo', '?', 'Londo']",Data not available,bzm,bolo1263,"(3,000 cited 1983 census)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Londo_language
965,Boano,"['Austronesian', 'Malayo-Polynesian', ' (MP)', 'Central–Eastern MP', 'Central Maluku', '\xa0?', 'East Central Maluku', 'Seram', '\xa0?', 'Nunusaku', 'Piru Bay', 'West', 'Hoamoal', 'Boano']",Data not available,bzn,boan1242,"(3,240 cited 1982)[1]","Boano Island, Maluku",Data not available,Data not available,https://en.wikipedia.org/wiki/Boano_language_(Maluku)
966,Bomboli–Bozaba,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Bantoid', 'Bantu', ' (', 'Zone C.10', ')', 'Ngondi–Ngiri', 'Bomboli–Bozaba']",Data not available,Either:titlebmltitle – Bombolititlebzotitle – Bozaba,bomb1261,"(8,000 cited 1983–1986)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Bozaba_language
967,Kemberano,"['Trans–New Guinea', '?\n', 'Berau Gulf', ""South Bird's Head"", 'Nuclear/East', 'Kokoda–Arandai', 'Arandai', 'Kemberano']",Data not available,bzp,kemb1235,"(2,500 including Dombano (possibly double counting) cited 1987)[1]",Bird's Head Peninsula,Data not available,Data not available,https://en.wikipedia.org/wiki/Kemberano_language
968,Buli,"['Austronesian', 'Malayo-Polynesian', 'Central–Eastern Malayo-Polynesian', 'Eastern Malayo-Polynesian', 'South Halmahera–West New Guinea', 'Halmahera Sea', 'South Halmahera', 'Buli languages', 'Buli']","['Buli', 'Wayamli']",bzq,buli1255,"2,500 (2000)[1]",North Maluku,Data not available,Data not available,https://en.wikipedia.org/wiki/Buli_language_(Indonesia)
969,Biri,"['Pama–Nyungan', 'Maric', 'Biri']","['Biri', 'Garaynbal', 'Gangulu', 'Baradha', 'Yambina', 'Yangga', 'Yilba', 'Wiri (Widi)', 'Giya (Bumbarra)', 'Yetimarala/Yetimarla', 'Yuwi (Yuipera)?', 'Mandalgu?']",Variously:titlebzrtitle – Birititlegnltitle – Gangulutitlexgititle – Garingbal,east2716,Data not available,Queensland,Data not available,Data not available,https://en.wikipedia.org/wiki/Biri_language
970,Brazilian Sign Language,"['Language isolate', '?', '[2]']",Data not available,bzs,braz1236,Data not available,Urban areas,Data not available,Data not available,https://en.wikipedia.org/wiki/Brazilian_Sign_Language
971,Burmeso,"['West Papuan', ' or ', 'language isolate', ""\n(extended) East Bird's Head"", 'Burmeso']",Data not available,bzu,burm1264,(250 cited 1998)[1],"Papua: Mamberamo Raya Regency, Mamberamo Tengah subdistrict, Burmeso village on the banks of the Middle Mamberamo River",Data not available,Data not available,https://en.wikipedia.org/wiki/Burmeso_language
972,Bebe,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Southern Bantoid', 'Eastern Beboid', 'Bebe']",Data not available,bzv,bebe1250,"3,600 (2008)[1]",Cameroon,Data not available,Data not available,https://en.wikipedia.org/wiki/Bebe_language
973,Basa,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Kainji', 'Basa languages', 'Basa']","['Basa-Kwomu (Basa-Komo)', 'Basa-Makurdi', 'Basa-Gurara', 'Basa-Kwali', 'Bassa Nge (Bassa Nupe)']",bzw,basa1282,"300,000 (2020)[1]",Benue River,Data not available,Data not available,https://en.wikipedia.org/wiki/Basa-Benue_language
974,Obanliku,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Southern Bantoid', '?', 'Bendi', 'Obanliku']","['Basang', 'Bebi', 'Bishiri', 'Bisu', 'Busi']",bzy,oban1244,"(65,000 cited 1989)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Obanliku_language
975,Evant,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Southern Bantoid', 'Tivoid', 'Central (A)', 'Evant']",Data not available,bzz,evan1238,"(10,000 cited 1996)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Evant_language
976,Chʼortiʼ,"['Mayan', '\nCholan–Tzeltalan', 'Cholan', 'Chʼortiʼ']",Data not available,caa,chor1273,"30,000 (2000)[1]",Copán,Data not available,Data not available,https://en.wikipedia.org/wiki/Ch%CA%BCorti%CA%BC_language
977,Garifuna,"['Arawakan', '\nNorthern', 'Caribbean', 'Garifuna']",Data not available,cab,gari1256,"120,000 (2001–2019)[1]",Historically the Northern Caribbean coast of Central America from Belize to Nicaragua,Data not available, Belize Guatemala,https://en.wikipedia.org/wiki/Garifuna_language
978,Chuj,"['Mayan', 'Qʼanjobalan–Chujean', 'Chujean', 'Chuj']",Data not available,cac,chuj1250,"59,000 in Guatemala (2019 census)[1]4,000 in Mexico (2020 census)[2]","Northern Huehuetenango, Chiapas",Data not available, Guatemala,https://en.wikipedia.org/wiki/Chuj_language
979,Caddo,"['Caddoan', 'Caddo']",Data not available,cad,cadd1256,2 (2023)[2],Caddo County in western Oklahoma,Data not available,Data not available,https://en.wikipedia.org/wiki/Caddo_language
980,Laalaa,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Senegambian', 'Cangin', 'Noon-Laalaa', 'Laalaa']",Data not available,cae,leha1242,"12,000 (2007)[1]",Thies,Data not available,Data not available,https://en.wikipedia.org/wiki/Laalaa_language
981,Nivaclé,"['Matacoan', 'Nivaclé']",Data not available,cag,niva1238,"14,000 (2007)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Nivacl%C3%A9_language
982,Cahuarano,"['Zaparoan', '\nIquito–Cahuarano', 'Cahuarano']",Data not available,cah,cahu1268,Data not available,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Cahuarano_language
983,Chané,"['Arawakan', '\nSouthern', 'Bolivia–Parana', 'Terena', 'Chané']",Data not available,caj,chan1322,Data not available,Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Chan%C3%A9_language
984,Kaqchikel,"['Mayan', '\nQuichean–Mamean', 'Greater Quichean', 'Quichean', 'Kaqchikel']",Data not available,cak,kaqc1270,"410,000 (2019 census)[1]",Central Highlands,Data not available,Data not available,https://en.wikipedia.org/wiki/Kaqchikel_language
985,Carolinian,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Micronesian', 'Nuclear Micronesian', 'Chuukic', 'Carolinian']",Data not available,cal,caro1242,"3,100 (2000)[1]","Saipan, Anatahan, and Agrihan islands, Marianas", Northern Mariana Islands,Data not available,https://en.wikipedia.org/wiki/Carolinian_language
986,Cèmuhî,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Southern Oceanic', 'New Caledonian – Loyalties', 'New Caledonian', 'Northern New Caledonian', 'Central Northern', 'Cèmuhî']",Data not available,cam,cemu1238,"2,600 (2009)[1]",Touho: east coast from Congouma to Wagap and inland valleys,Data not available,Data not available,https://en.wikipedia.org/wiki/C%C3%A8muh%C3%AE_language
987,Chambri,"['Ramu–Lower Sepik', 'Lower Sepik', ' (Nor–Pondo)', 'Pondo', '?', 'Chambri']",Data not available,can,cham1313,800 (2006)[1],"Chambri Lakes region, East Sepik Province",Data not available,Data not available,https://en.wikipedia.org/wiki/Chambri_language
988,Chácobo,"['Panoan', '\nMainline Panoan', 'Nawa', 'Bolivian', 'Chácobo']","['Chakobo', 'Pakawara', 'Karipuna?']",Variously:titlecaotitle – Chácobotitlepcptitle – Pakawaratitlekuqtitle – Karipuna (titleconfuses Jau-Navo with Kawahibtitle),chac1251title  Chácobotitlepaca1246title  Pacahuaratitlekari1312title  Karipunatitleshin1267title  Shinabo,600 (2000–2007)[1],Beni Department, Bolivia,Data not available,https://en.wikipedia.org/wiki/Chakobo_language
989,Chipaya,"['Uru–Chipaya', 'Chipaya']",Data not available,cap,chip1262,"1,800 (2012)[1]",Oruro Department,Data not available,Data not available,https://en.wikipedia.org/wiki/Chipaya_language
990,Car,"['Austroasiatic', 'Nicobarese', 'Car']",Data not available,caq,carn1240,"37,000 (2005)[1]",Nicobar Islands,Data not available,Data not available,https://en.wikipedia.org/wiki/Car_language
991,Carib,"['Cariban', '\nGuianan Carib', 'Carib']","['Tyrewuju (Suriname)', 'Aretyry (Suriname)']",car,gali1262,"8,600 (2001–2012)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Carib_language
992,Catalan,"['Indo-European', 'Italic', 'Latino-Faliscan', 'Latin', 'Romance', 'Italo-Western', 'Western Romance', 'Gallo-Iberian?', '[2]', 'Gallo-Romance', '[a]', 'Occitano-Romance', '[a]', 'Catalan']","['Valencian', 'Balaeric', ' (including ', 'Menorcan', ')', 'Central', 'Roussillonese', 'Algherese', 'Northwestern', 'Ribagorçan', 'Judaeo-Catalan', ' ', '†', 'Patuet']",cat,stan1289,L1: 4.1 million (2012)[1]L2: 5.1 millionTotal: 9.2 million,Southern Europe,"AndorraItaly
Alghero, Sardinia
Spain

Balearic Islands
Catalonia
Valencian Community (as Valencian)
","France
Northern Catalonia, Occitania
Spain

La Franja, Aragon
Carche, Region of Murcia (as Valencian)
",https://en.wikipedia.org/wiki/Catalan_language
993,Cavineña,"['Pano–Tacanan', 'Tacanan', 'Araona–Tacana', 'Cavinena–Tacana', 'Cavineña']",Data not available,cav,cavi1250,600 (2012)[1],Beni Department,Bolivia[2],Data not available,https://en.wikipedia.org/wiki/Cavine%C3%B1a_language
994,Kallawaya,"['Puquina', 'Kallawaya']",Data not available,caw,call1235,None[1]10–20 as 2nd language[citation needed],La Paz Department: Charazani; highlands north of Lake Titicaca, Bolivia[2],Data not available,https://en.wikipedia.org/wiki/Kallawaya_language
995,Chiquitano,"['Language isolate', ' or ', 'Macro-Jê']",Data not available,cax,chiq1253title  Chiquitanotitlesans1265title  Sansimoniano,"2,400 (2021)[1]",Santa Cruz (Bolivia); Mato Grosso (Brazil), Bolivia,Data not available,https://en.wikipedia.org/wiki/Chiquitano_language
996,Cayuga,"['Iroquoian', '\nNorthern', 'Lake Iroquoian', 'Five Nations', 'Cayuga']",Data not available,cay,cayu1261,<55 in Canada (2016 census)[1],Ontario: Six Nations of the Grand River First Nation; New York (state): Cattaraugus Reservation,Data not available,Data not available,https://en.wikipedia.org/wiki/Cayuga_language
997,Canichana,"['Tequiraca–Canichana', '?\n', 'Canichana']",Data not available,caz,cani1243,Data not available,Beni Department, Bolivia,Data not available,https://en.wikipedia.org/wiki/Canichana_language
998,Cabiyarí,"['Arawakan', '\nNorthern', 'Upper Amazon', 'Western Nawiki', 'Piapoko', 'Cabiyarí']",Data not available,cbb,cabi1241,270 (2008)[1],Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Cabiyari_language
999,Carapano,"['Tucanoan', '\nEastern', 'Central', 'Tatuyo–Carapano', 'Carapano']",Data not available,cbc,cara1272,500 (2012)[1],Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Carapana_language
1000,Carijona,"['Cariban', '\nGuianan Carib', 'Taranoan', 'Carijona']","['Hianacoto', 'Karihona']",cbd,cari1279,"6 near La Pedrera and ""a few more"" near Miraflores (2007)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Carijona_language
1001,Chimila,"['Chibchan', '\nArwako–Chimila', 'Chimila']",Data not available,cbg,chim1309,350 (2009)[1],Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Chimila_language
1002,Chaʼpalaa,"['Barbacoan', '\nSouthern?', 'Chaʼpalaa']",Data not available,cbi,chac1249,"5,870 (2012)[1]",Ecuador,Data not available,Data not available,https://en.wikipedia.org/wiki/Cha%27palaa_language
1003,Chavacano,"['Spanish-based creole', 'Chavacano']",Data not available,cbk,chav1241,"(700,000 native speakers; 1.2 million as a second language;[1] cited 1992)[2][3][needs update]","Zamboanga City and Basilan (Zamboangueño and Basileño), Cavite City (Caviteño) and Ternate, Cavite (Ternateño/Bahra)",Regional language in the Philippines,Data not available,https://en.wikipedia.org/wiki/Chavacano
1004,Nyah Kur,"['Austroasiatic', 'Monic', 'Nyah Kur']","['Chaiyaphum', 'Petchabun']",cbn,nyah1250,"1,500 (2006)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Nyah_Kur_language
1005,Zora,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Benue–Congo', 'Kainji', 'East Kainji', 'Zora']",Data not available,cbo,izor1238,19 (2016)[1],Plateau State,Data not available,Data not available,https://en.wikipedia.org/wiki/Zora_language
1006,Cashibo,"['Panoan', '\nMainline Panoan', 'Cashibo']","['Cashibo', 'Cacataibo', 'Rubo / Isunbo', 'Nocaman']",cbr,cash1251,"1,200 (2007)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Kashibo_language
1007,Kashinawa,"['Panoan', '\nMainline Panoan', 'Nawa', 'Headwaters', 'Kashinawa']",Data not available,cbs,cash1254,"1,200 (2003–2007)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Kashinawa_language
1008,Chayahuita,"['Cahuapanan', 'Chayahuita']",Data not available,cbt,chay1248,"14,000 (2011)[1]",Data not available,Data not available,Data not available,https://en.wikipedia.org/wiki/Chayahuita_language
