,lang,family,dialects,iso3code,speakers,regions,off_lang,rec_min_lang
499,Algonquin_language,"['Algic', 'Algonquian', 'Ojibwe', '-', 'Potawatomi', 'Ojibwe', 'Severn', '-Algonquin', '[2]', 'Algonquin']",,alq,"3,330 (2016 census)[1]",Quebec and into Ontario,,
500,Sicily,,,,,,,
501,Republics_of_Russia,,,,,,,
502,"Nation_of_Brunei,_the_Abode_of_Peace",,,,,,,
503,Sadri_language,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Eastern', 'Bihari', 'Sadanic', 'Nagpuri']",,Either:sck – Sadrisdr – Oraon Sadri,L1: 5.1 million (2011 census)[1][2][3][4]L2: 7.0 million (2007)[4],"West Central Chota Nagpur (Jharkhand,  Chhattisgarh, Odisha and Bihar)"," India
Jharkhand[5][6] (additional)
",
504,Jingpo_language,"['Sino-Tibetan', 'Jinghpaw']","['Singpho', 'Dzili (Jili)']",Variously:kac – Jinghpawsgp – Singphotcl – Taman,"(c. 940,000 cited 1999–2001)[1]","Kachin State, Yingjiang County",, China Myanmar
505,Domari_language,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Central', ' (Hindustani)', '[3]', 'Dom', 'Domari']","['Northern Domari', 'Southern Domari']",rmt,"280,000 (2015)[2]","Middle East and North Africa, Caucasus, Central Asia",,
506,Brazil,,,,,,,
507,Sorani,"['Indo-European', 'Indo-Iranian', 'Iranian', 'Western', 'Northwestern', 'Kurdish', 'Central Kurdish / Sorani']","['Babanî (Silêmanî)', 'Mukriyanî', 'Erdelanî', 'Germiyanî (Cafî)', 'Arbilî (Hewlêrî)', 'Xoşnaw', 'Kerkukî']",ckb,5.3 million (2020–2021)[1],Kurdistan, Iraq  Kurdistan Region[2],
508,Mussau-Emira_language,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'St. Matthias', 'Mussau-Emira']",,emi,"5,000 (2003)[1]",Islands of Mussau and Emirau (New Ireland Province),,
509,Esperanto,,,epo,,,,
510,Oirat_language,"['Mongolic', '\nCentral Mongolic', 'Buryat', '–', 'Mongolian', 'Mongolian', 'Oirat']",,Either:xal – Modern Oiratxwo – Written Oirat,"368,000, 58% of ethnic population (2007–2010)[4]","Khovd, Uvs,[2] Bayan-Ölgii,[3] Kalmykia, Xinjiang, Gansu, Qinghai","Kalmykia, Russia (in the form of Kalmyk); Haixi Mongol and Tibetan Autonomous Prefecture in Qinghai, China; Bayingolin Mongol Autonomous Prefecture and Bortala Mongol Autonomous Prefecture in Xinjiang Uyghur Autonomous Region, China",
511,Zambia,,,,,,,
512,Sephardim,,,,,,,
513,Lesotho,,,,,,,
514,Apache_language,,,,,,,
515,Afghanistan,,,,,,,
516,Karnataka,,,,,South India,,
517,Provinces_of_the_Philippines,,,,,,,
518,North_Sumatra,,,,,,,
519,Kelantan,,,,,,,
520,Provinces_and_territories_of_Canada,,,,,,,
521,Autonomous_regions_of_China,,,,,,,
522,Senegal,,,,,,,
523,Costa_Rica,,,,,,,
524,Republic_of_Iceland,,,,,,,
525,Wa_State,,,,,,,
526,Gwich%27in_language,"['Dené–Yeniseian', '?\n', 'Na-Dené', 'Athabaskan', 'Northern Athabaskan', 'Gwichʼin']","['Western', 'Eastern']",gwi,ca. 560 (2007–2016)[1],"Canada (Northwest Territories, Yukon), United States (Alaska)",Canada (Northwest Territories)[2]United States(Alaska)[3],
527,Igala_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Volta–Niger', 'yeai', 'Yoruboid', 'Igala']",,igl,1.6 million (2020)[1],,,
528,Yoruba_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta-Congo', 'Volta–Niger', 'YEAI', 'Yoruboid', 'Edekiri', 'Yoruba']",,yor,L1: 45 million (2021)[1]L2: 2.0 million (no date)[1],Yorubaland, Nigeria, Benin Togo
529,Vietnamese_language,"['Austroasiatic', 'Vietic', 'Viet–Muong', 'Vietnamese']",,vie,85 million (2019)[1],, Vietnam," Czech Republic[2] Slovakia[3]
"
530,Wintu_language,"['Wintuan', '\nNorthern', 'Wintu']",,wnw,Unknown[1],"Shasta County, Trinity County, California",,
531,Islamic_Republic_of_Mauritania,,,,,,,
532,Slavic_people,,,,,,,
533,Republic_of_France,,,,,,,
534,Southern_S%C3%A1mi,"['Uralic', 'Sámi', 'Western', 'Southern Sámi']",,sma,(600 cited 1992)[1],"Norway, Sweden","Norway[2]
Hattfjelldal
Røros
Snåsa
Røyrvik
",Sweden[3]
535,Maltese_language,"['Afro-Asiatic', 'Semitic', 'West Semitic', 'Central Semitic', 'Arabic', 'Maghrebi Arabic', 'Pre-Hilalian Arabic', 'Siculo-Arabic', 'Maltese']","['Cottonera', 'Gozitan', 'Qormi', 'Żejtuni', 'Australian', 'Central', 'Western', 'Eastern', 'Zurrieq', 'Port Maltese', 'Mġarr', 'Xlukkajr', 'Għaxaq', 'Qawsra', ' ', '†']",mlt,"570,000 (2012)[1]",,MaltaEuropean Union,
536,States_of_Pakistan,,,,,,,
537,Republic_of_Senegal,,,,,,,
538,Americas,,,,,,,
539,Sikkimese_language,"['Sino-Tibetan', 'Tibeto-Burman', 'Tibeto-Kanauri', ' (?)', 'Bodish', 'Tibetic', 'Dzongkha–Lhokä', 'Sikkimese']",,sip,"70,000 (2022)[1]","Sikkim, Nepal (Koshi Province), and Bhutan"," India
Sikkim
",
540,Jarawa_language_(Andaman_Islands),"['Ongan', 'Jarawa']",['None known'],anq,"266, 70% of ethnic population (2001–2002)[1]Literacy rate in L1: Below 1%.","Andaman Islands; interior and south central Rutland island, central interior and south interior of South Andaman island, Middle Andaman island, west coast, 70 square km reserve.",,
541,Ivory_Coast,,,,,,,
542,Abenaki_people,,,,,,,
543,Texas,,,,,,,
544,Counties_of_the_People%27s_Republic_of_China,,,,,,,
545,Salamanca,,,,,Europe and North America,,
546,South_Africa,,,,,,,
547,Italian_language,"['Indo-European', 'Italic', 'Latino-Faliscan', 'Latin', 'Romance', 'Italo-Western', 'Italo-Dalmatian', 'Italo-Romance', 'Italian']","['Tuscan', 'Central Italian', 'Maltese Italian', 'Swiss Italian', 'Various forms of ', 'regional Italian']",ita,L1: 65 million (2022)[1]L2: 3.1 million[1]Total: 68 million[1],,"
4 countries
Italy
San Marino
Switzerland
Vatican City



2 regions
Slovene Istria (Slovenia)
Istria County (Croatia)



An order and various organisations
 Sovereign Military Order of Malta[4]
European Union
FAO
Holy See
OSCE
 IDLO
 IIHL
Mediterranean Universities Union
UNICRI
UNIDROIT
and others

",Bosnia and Herzegovina[a]CroatiaRomania[a]SloveniaEritrea
548,Japan,,,,,,,
549,Atlantic_Pyrenees,,,,,Nouvelle-Aquitaine,,
550,Altai_language,"['Turkic', 'Common Turkic', 'Siberian Turkic', ' or ', 'Kipchak', 'Southern Siberian or Kyrgyz–Kipchak', '[3]', '[4]', 'Altai']",,Either:atv – Northern Altaialt – Southern Altai,"125,700 (Total of Southern and Northern Altai speakers)[1][2]","Altai Republic, Altai Krai, Kemerovo Oblast", Russia Altai Republic,
551,Montenegrin_language,"['Indo-European', 'Balto-Slavic', 'Slavic', 'South Slavic', 'Western', 'Serbo-Croatian', 'Shtokavian', 'New Shtokavian', 'Eastern Herzegovinian', 'Montenegrin']",,cnr [3],(see text),, Montenegro,"Mali Iđoš municipality (Vojvodina, Serbia)[1]"
552,Telugu_language,"['Dravidian\n', '\nSouth', 'South-II', 'Telugu']","['see ', 'Telugu languages']",tel – inclusive codeIndividual code:wbq – Waddar (Vadari),L1: 83 million (2011 census)[1][2]L2: 13 million (2011 census)[1],Andhra Pradesh TelanganaYanam," India
Andhra Pradesh
Telangana
Puducherry (Yanam)
West Bengal (additional)[3]
", South Africa (protected language)[4]
553,Braille,,,,,,,
554,Avestan_language,"['Indo-European', 'Indo-Iranian', 'Iranian', 'Avestan']",,ave,,Central Asia,,
555,Andorra,,,,,,,
556,Illinois_Confederation,,,,,,,
557,Angika,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Eastern', 'Bihari', 'Angika']",,anp,Around 15 Million[2],"Bihar and Jharkhand (India), Terai (Nepal)[1]"," India
Jharkhand[3] (additional)
",
558,Musgu_language,"['Afro-Asiatic', 'Chadic', 'Biu–Mandara', 'East–Central', 'Munjuk', ' (B.2)', 'Musgu']","['Mpus', 'Beege (Jafga)', 'Vulum (Mulwi)', 'Ngilemong', 'Luggoy', 'Maniling', 'Muzuk']",mug,"(160,000 cited 1993–2005)[1]",,,
559,Himachal_Pradesh,,,,,North India,,
560,Croatian_language,"['Indo-European', 'Balto-Slavic', 'Slavic', 'South', 'Western', '[2]', 'Serbo-Croatian', '[2]', 'Shtokavian', 'New Shtokavian', 'Eastern Herzegovinian', 'Croatian']",,hrv,L1: 5.1 million  (including all dialects spoken by Croats) (2021)[1]L2: 1.3 million (2012)[1],Southeast Europe, Croatia Bosnia and Herzegovina (co-official)  Montenegro (co-official)[3] Serbia (in Vojvodina) Austria (in Burgenland) European Union, Slovakia[4]  Czech Republic[5] Hungary (in Baranya County)[6] Italy[7]
561,Karamojong_language,"['Nilo-Saharan', '?\n', 'Eastern Sudanic', '?', 'Kir–Abbaian', '?', 'Nilotic', 'Eastern Nilotic', 'Ateker', '–', 'Lotuko', '–', 'Maa', 'Ateker', 'Turkanic', 'Karamojong']","['Jie', 'Dodos']",kdj,"691,000 (2014 census)[1]",Karamoja,,
562,Marwari_language,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Western', '[3]', 'Rajasthani', 'Marwari']",,mwr – inclusive codeIndividual codes:dhd – Dhundarirwr – Marwari (India)mve – Marwari (Pakistan)wry – Merwarimtr – Mewariswv – Shekhawatijog – Jogigdx – Godwarigig – Goarialrk – Loarkigda – Gade Lohar (duplicate of Loarki)mki – Dhatki,,Marwar,,
563,Rajasthan,,,,,North India,,
564,Istria_County,,,,,,,
565,Republic_of_Belarus,,,,,,,
566,Stellingwerfs_language,"['Indo-European', 'Germanic', 'West Germanic', 'North Sea Germanic', 'Low German', 'Low Saxon', 'Westphalian', '[', 'citation needed', ']', 'Stellingwarfs']",,stl,"5,000 (2016)[1]","Northeast, Stellingwerven region, Friesland province. Centers are Oosterwolde and Wolvega.","Netherlands
- Recognized by the government in 1996 as being part of Low Saxon [nds].[1]",
567,Kenya,,,,,,,
568,Bezhta_language,"['Northeast Caucasian', 'Tsezic', 'Bezhta–Hunzib–Khwarshi', 'Bezhta']",,kap,"6,800 (2006–2010)[1]",Southern Dagestan,,
569,San_Marino,,,,,,,
570,Dalecarlian,"['Indo-European', 'Germanic', 'North Germanic', 'West Scandinavian', '[1]', 'Dalecarlian']","['Elfdalian', 'Moramål', '[2]', 'Orsamål', '[3]']",None (mis)Individual code:ovd – Elfdalian,,Dalarna County,,
571,Kayah_State,,,,,Southeast,,
572,Gheg_Albanian,"['Indo-European', 'Albanoid', 'Albanian', 'Gheg']","['Istrian Albanian', ' ', '†', 'Arbanasi', 'Northeastern Gheg', 'Northwestern Gheg', 'Upper Reka', 'Northern Gheg', 'Southern Gheg']",aln,4.1 million (2012–2021)[1],"Albania, Kosovo, North Macedonia, Montenegro, Serbia",,
573,Maldives,,,,,,,
574,Republic_of_Dagestan,,,,,,,
575,States_of_Myanmar,,,,,,,
576,Baranya_County,,,,,Southern Transdanubia,,
577,Republic_of_Karelia,,,,,,,
578,Thai_language,"['Kra–Dai', 'Tai', 'Southwestern Tai', 'Chiang Saen', 'Sukhothai', 'Thai']",,tha,L1: 21 million (2000)[1]L2: 40 million (2001)[1]  Total: 61 million (2000–2001)[1],"
Thailand (Central Thailand and Thai Chinese enclaves throughout country)
Cambodia (Koh Kong province)
", Thailand, Cambodia   Laos   Malaysia   Myanmar
579,Uttar_Pradesh,,,,,North India,,
580,State_of_Arizona,,,,,,,
581,Burma,,,,,,,
582,Nuosu_language,"['Sino-Tibetan', 'Tibeto-Burman', 'Lolo–Burmese', 'Loloish', 'Nisoish', 'Nisoid', 'Nuosu']",,"iii  Nuosu, Sichuan Yi",2 million (2000 census)[1],"Southern Sichuan, northern Yunnan",, China (Yunnan province)
583,Vorarlberg,,,,,,,
584,Korea,,,,,,,
585,Hiligaynon_language,"['Austronesian', 'Malayo-Polynesian', 'Philippine', 'Greater Central Philippine', 'Central Philippine', 'Bisayan', 'Central Bisayan', 'Hiligaynon']","['Standard Hiligaynon (Iloilo province dialect);', 'Urban Hiligaynon (Metro Iloilo dialect);', 'Guimarasnon Hiligaynon;', 'Bacolodnon Hiligaynon (Metro Bacolod dialect);', 'Negrense Hiligaynon (Negros Occidental dialect);', 'Mindanao Hiligaynon']",hil,7.8 million (2010)[1][needs update]9.1 million total speakers[2]4th most spoken native language in the Philippines[3],"Western Visayas, Soccsksargen, western Negros Oriental, southwestern portion of Masbate, coastal Palawan, some parts of southern Mindoro, some parts of Romblon and a few parts of Northern Mindanao",, Philippines
586,North_America,,,,,,,
587,Albania,,,,,,,
588,Kingdom_of_Thailand,,,,,,,
589,Ayapaneco,"['Mixe-Zoquean', 'Zoquean', 'Gulf Zoquean', 'Ayapa Zoque']",,zoq,70 (2020 census)[1],"Jalpa de Méndez, Tabasco",,
590,Maguindanao,,,,,,,
591,Fijian_language,"['Austronesian', 'Malayo-Polynesian', 'Oceanic', 'Central Pacific', 'East Fijian – Polynesian', 'East Fijian', 'Fijian']",['Pidgin Fijian'],fij,"(339,210 cited 1996 census)[1]320,000 second-language users (1991)",, Fiji,
592,Yanam,,,,,,,
593,Lists_of_extinct_languages,,,,,,,
594,Mor_language_(Papuan),"['Trans–New Guinea', 'Berau Gulf', 'Mor']",,moq,30 (2012)[1]70 semi-speakers (2012),"Fakfak Regency, West Papua",,
595,Bopomofo,,,,,,,
596,Administrative_units_of_Pakistan,,,,,,,
597,Transnistria,,,,,,,
598,Chile,,,,,,,
599,Makassarese_language,"['Austronesian', 'Malayo-Polynesian', 'South Sulawesi', 'Makassaric', 'Makasar']","['Gowa-Takalar (Lakiung)', 'Jeʼneʼponto (Turatea)', 'Marusuʼ-Pangkajeʼneʼ']",mak,2.1 million (2000 census)[1],South Sulawesi (Sulawesi),,
600,Fiji_Hindi,"['Indo-European', 'Indo-Iranian', 'Indo-Aryan', 'Central', ' and ', 'Eastern', 'Eastern Hindi', ' and ', 'Bihari', 'Awadhi', ' and ', 'Bhojpuri', 'Fiji Hindi']",['Pidgin Hindustani'],hif,"(380,000 cited 1991)[1]",, Fiji,
601,Tobago,,,,,,,
602,Orok_language,"['Tungusic', '\nSouthern', 'Nanaic', 'Uilta']",,oaa,26–47 (2010 census)[1],"Sakhalin Oblast (Russian Far East), Hokkaido",,
603,Kaingang_language,"['Macro-Jê', 'Jê', 'Jê of Paraná', 'Southern Jê', 'Kaingang']",,Either:kgp – Kaingangzkp – São Paulo Kaingáng,"(18,000 cited 1989)[1]","São Paulo, Santa Catarina, Paraná, Rio Grande do Sul",,
604,Diyarbak%C4%B1r_Province,,,,,,,
605,French_language,"['Indo-European', 'Italic', 'Latino-Faliscan', 'Latin', 'Romance', 'Italo-Western', 'Western Romance', 'Gallo-Romance', 'Oïl', 'French']",,fra,L1: 74 million (2020)[1]L2: 238 million (2022)[1]  Total: 310 million[1],,"
27 countries
Belgium
Benin
Burundi
Cameroon
Canada
Central African Republic
Chad
Comoros
Congo
Democratic Republic of the Congo
Djibouti
Equatorial Guinea
France
Gabon
Guinea
Haiti
Ivory Coast
Luxembourg
Madagascar
Monaco
Niger
Rwanda
Senegal
Seychelles
Switzerland
Togo
Vanuatu



10 subnational
Aosta Valley (Italy)
French Polynesia
Louisiana (United States)
Maine (United States)
New Caledonia
Puducherry (India)
Saint Barthélemy
Saint Martin
Saint Pierre and Miquelon
Wallis and Futuna



Non-official but administrative/cultural
Algeria
Burkina Faso
Cambodia
Laos
Lebanon
Mali
Mauritania
Mauritius
Morocco
New Hampshire (United States)
Tunisia
Vietnam



Intergovernmental organizations
Organisation internationale de la Francophonie
United Nations
International Olympic Committee
General Conference on Weights and Measures
International Committee of the Red Cross
European Union
African Union
North Atlantic Treaty Organization
World Trade Organization
Council of Europe

",
606,Swiss_German,"['Indo-European', 'Germanic', 'West Germanic', 'Elbe Germanic', 'High German', 'Upper German', 'Alemannic', 'Swiss German']",,gsw  (with Alsatian),4.93 million in Switzerland (2013)[1]Unknown number in Germany and Austria,,,
607,Masalit_language,"['Nilo-Saharan', '?\n', 'Maban', 'Masalit languages', 'Masalit']",,Either:mls – Masalitmdg – Massalat,"410,000 (2019–2022)[1]","West Darfur, South Darfur (Sudan), Ouaddaï, Sila (Chad)",,
608,Middle_East,,,,,,,
609,Mordovia,,,,,,,
610,Igbo_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Volta–Congo', 'Volta–Niger', 'Igboid', 'Nuclear Igboid', 'Igbo']","['Isu', ', ', 'Aguata', ', ', 'Aguleri', ', ', 'Arochukwu', ', ', 'Awka', ', ', 'Anioma', ', ', 'Bende', ', ', 'Edda', ', ', 'Egbema', ', ', 'Ekpeye', ', ', 'Enuani', ', ', 'Etche', ', ', 'Ezza', ', ', 'Idemili', ', ', 'Igbanke', ', ', 'Ika', ', ', 'Ikwerre', ', ', 'Isobo', ', ', 'Ikwo', ', ', 'Izzi', ', ', 'Mbaise', ', ', 'Mgbo', ', ', 'Ndoki', ', ', 'Ngwa', ', ', 'Nkanu', ', ', 'Nnewi', ', ', 'Nsukka', ', ', 'Onitsha', ', ', 'Ogbaru', ', ', 'Ogba', ', ', 'Ohafia', ', ', 'Ohuhu', ', ', 'Okigwe', ', ', 'Owerri', ', ', 'Ukwuani', ', ', 'Waawa', ', Ijekebe', '[3]']",ibo,31 million (2020)[1],"Igboland: Abia, Anambra, Ebonyi, Enugu, Imo, Delta, Rivers, Benue, Edo, Kogi[1]", Nigeria  (national status)," Cameroon[4]
 Equatorial Guinea[4]"
611,Dargwa_language,"['Northeast Caucasian', 'Dargin', 'Dargwa']",,dar  (also Dargin languages),"490,000 (2010 census)[1]",Dagestan," Russia
 Dagestan
",
612,Districts_of_India,,,,,,,
613,Dehong_Dai_and_Jingpo_Autonomous_Prefecture,,,,,,,
614,Republic_of_Mali,,,,,,,
615,Aweer_language,"['Afro-Asiatic', 'Cushitic', 'Lowland East', 'Rendille–Boni', 'Aweer']","['Kilii', 'Baddey', 'Bireeri', 'Jara', 'Kijee', 'Safaree']",bob,"7,600 (2009 census)[1]","Coast Province, North-Eastern Province",,
616,Oaxaca,,,,,,,
617,Magar_language,"['Sino-Tibetan', 'Tibeto-Burman', 'Himalayish', 'Mahakiranti', 'Magaric', 'Magar']",,Either:mgp – Eastern Magarmrd – Western Magar,"810,000 (2001–2006)[1]",Nepal; significant communities in Bhutan; Sikkim; Assam and Darjeeling district of India," India
Sikkim (additional)[2]
",
618,Walloon_language,"['Indo-European', 'Italic', 'Latino-Faliscan', 'Romance', 'Italo-Western', 'Western Romance', 'Gallo-Romance', 'Rhaeto-Romance', '[3]', ' (possibly)', 'Oïl', 'Walloon']",['Wisconsin Walloon'],wln,"600,000 people have some knowledge of it[1] (2007)[2]Possibly only 300,000 active speakers in rural Wallonia[citation needed]","Wallonia, Ardennes, minority in Door County, Wisconsin (United States)",,
619,Serbia,,,,,,,
620,Babine_language,"['Dené–Yeniseian', '?\n', 'Na-Dené', 'Athabaskan–Eyak', 'Athabaskan', 'Northern Athabaskan', 'Babine–Witsuwitʼen']","['Babine', 'Witsuwitʼen']",bcr,135 (2016 census)[2],British Columbia,,
621,Benishangul-Gumuz_Region,,,,,,,
622,Buginese_language,"['Austronesian', 'Malayo-Polynesian', 'South Sulawesi', 'Bugis', '–', 'Tamanic', 'Bugis', 'Buginese']",,bug,"L1: 3.5 million L2: 500,000  Total speakers: 4 million (2015 UNSD)[1]","South Sulawesi; enclaves elsewhere in Sulawesi, Borneo, Sumatra, Maluku, Papua",,
623,Luise%C3%B1o_language,"['Uto-Aztecan', 'Northern', 'Takic', '?', 'Cupan', 'Luiseño']","['Luiseño', 'Juaneño']",lui,,Southern California,,
624,Dukhan_language,"['Turkic', 'Common Turkic', 'Siberian Turkic', 'South Siberian', 'Sayan Turkic', 'Taiga Sayan Turkic', '[1]', 'Dukha']",,None (mis),(undated figure of 500)[1],Khövsgöl Province,,
625,Ingush_language,"['Northeast Caucasian', 'Nakh', 'Vainakh', 'Chechen–Ingush', 'Ingush']",,inh,"350,000 (2020)[1]","Ingushetia, Chechnya", Russia Ingushetia,
626,Borneo,,,,,,,
627,Teochew_people,,,,,,,
628,Vincentian_Creole,"['English creole', '\nAtlantic', 'Eastern', 'Vincentian Creole']",,svc,"108,000 (2016)[1]",,,
629,Slovak_Republic,,,,,,,
630,Bodo_language,"['Sino-Tibetan', 'Tibeto-Burman', 'Central Tibeto-Burman languages', ' (?)', 'Sal', 'Boro–Garo', 'Boroic', 'Boro']",,brx,1.4 million (2011 census)[1],Bodoland (Assam)," India
Assam
",
631,Crown_Dependencies,,,,,,,
632,Comarques_of_Catalonia,,,,,,,
633,Islamic_Republic_of_Pakistan,,,,,,,
634,Tabasco,,,,,,,
635,Baga_language,"['Niger–Congo', '?\n', 'Atlantic–Congo', 'Mel', 'Temne', 'Baga languages', 'Baga']",,Variously:bgo – Kogabsp – Sitemubmd – Mandaribqf – Kaloum (spurious)bsv – Sobané (spurious),"Koga: No dataSitemu: 40,000 (2018)Mandari: 4,000 (2011)Kaloum: Extinct by the 1950sSobané: Extinct by the 1950s[1]",,,
636,Wales,,,,,,,
637,Cree_language,"['Algic', 'Algonquian', 'Cree-', 'Montagnais', '-', 'Naskapi', '[2]', 'Cree']",,cre – inclusive codeIndividual codes:crk – Plains Creecwd – Woods Creecsw – Swampy Creecrm – Moose Creecrl – Northern East Creecrj – Southern East Creensk – Naskapimoe – Montagnaisatj – Atikamekw,"96,000, 27% of ethnic population (2016 census)[1](including Montagnais–Naskapi and Atikamekw)",, Northwest Territories[3],"
 Alberta[citation needed]
 Manitoba[citation needed]
 Ontario[citation needed]
 Quebec[citation needed]
 Saskatchewan
[citation needed]"
638,Tuvan_language,"['Turkic', 'Common Turkic', 'Siberian Turkic', 'South Siberian', 'Sayan Turkic', 'Steppe Sayan Turkic', '[2]', '[notes 1]', 'Tuvan']",,tyv,"257,750 (2020)[1]",Tuva, Russia Tuva,
639,Sakha_Republic,,,,,,,
640,Bekasi,,,,,,,
641,Old_Church_Slavonic,"['Indo-European', 'Balto-Slavic', 'Slavic', 'South Slavic', 'Eastern South Slavic', 'Old Church Slavonic']",,chu  (includes Church Slavonic),,"
Southeastern Europe
Eastern Europe
Central Europe
",,
642,Republic_of_Tatarstan,,,,,,,
643,Manchu_language,"['Tungusic', '\nSouthern', 'Jurchenic', 'Manchu–', 'Xibe', 'Manchu']",,mnc,20 native speakers[1] (2007)[2]Thousands of second language speakers[3][4][5],Manchuria, Qing dynasty,
644,Arrernte_language,"['Pama–Nyungan', 'Arandic', 'Arrernte', 'Upper Arrernte']",,Variously:amx – Anmatjirraaly – Alyawarradg – Antekerrepenheaer – Eastern Arrernteare – Western Arrernteaxe – Ayerrerenge,"4,100 (2021 census)[1]","Northern Territory, Australia",,
